,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
418,タイムオーバー,2077,大谷　哲也,ビール飲み隊,02:53:22(426位),04:52:05(424位),08:19:07(419位),,,,,,,,,09:33.70
419,途中棄権,2158,小平　照子,大人の遠足,02:44:16(413位),04:34:19(413位),08:23:45(420位),,,,,,,,,09:39.03
420,タイムオーバー,2305,中澤　重美,,02:51:06(422位),04:48:28(421位),08:27:23(421位),,,,,,,,,09:43.21
421,途中棄権,2111,加藤　陽造,懸垂クラブ,02:31:10(286位),04:18:56(390位),,,,,,,,,,07:55.12
422,途中棄権,2120,川島　俊博,小江戸大江戸TW,02:46:05(417位),04:37:02(416位),,,,,,,,,,08:28.34
423,途中棄権,2065,海老原　竜太,,02:38:48(383位),04:41:20(419位),,,,,,,,,,08:36.22
424,途中棄権,2395,松田　和也,松田裕子,02:55:16(429位),04:44:17(420位),,,,,,,,,,08:41.65
425,途中棄権,2338,馬場　美穂子,,02:52:27(424位),04:49:12(422位),,,,,,,,,,08:50.65
426,途中棄権,2015,荒井　邦忠,question5,02:54:14(428位),04:51:10(423位),,,,,,,,,,08:54.27
427,途中棄権,2430,矢崎　義光,すなだ会,03:00:50(430位),04:56:20(425位),,,,,,,,,,09:03.74
428,途中棄権,2221,鈴木　乙郎,,03:02:23(432位),05:07:44(426位),,,,,,,,,,09:24.65
429,途中棄権,2159,小谷　真結美,あるけみー,03:04:46(433位),05:10:45(427位),,,,,,,,,,09:30.19
430,タイムオーバー,2343,原　智也,,03:01:16(431位),05:18:22(428位),,,,,,,,,,09:44.17
431,途中棄権,2405,三木　俊弥,RETO,02:41:08(397位),,,,,,,,,,,07:31.81
432,途中棄権,2383,堀篭　宏章,,02:51:40(423位),,,,,,,,,,,08:01.34
433,途中棄権,2467,渡辺正道,,,,,,,,,,,,,
