,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
157,158,2309,中野　淳,横浜鶴見ＲＣ,02:32:58(311位),04:05:05(310位),06:39:22(278位),09:34:36(247位),12:25:06(227位),19:21:04(189位),22:48:44(169位),25:13:00(162位),29:27:58(157位),31:47:58(154位),34:42:23(158位),10:02.13
158,159,2066,遠藤　司,石岡TRC/ヒノトリレン,02:22:45(162位),03:38:05(102位),05:45:27(70位),08:12:32(60位),10:44:56(64位),17:04:18(74位),20:45:02(82位),23:10:16(81位),28:26:28(115位),31:37:00(144位),34:42:36(159位),10:02.19
159,160,2403,三井田　明隆,,02:42:52(403位),04:17:44(387位),07:06:58(378位),10:15:55(354位),13:18:31(331位),20:03:42(251位),23:12:04(199位),25:37:27(194位),29:43:20(177位),31:57:46(167位),34:42:42(160位),10:02.22
160,161,2408,水野　慎也,,02:28:45(262位),03:59:57(271位),06:33:48(262位),09:40:44(269位),12:37:27(256位),19:20:29(188位),22:39:34(163位),25:01:18(152位),29:14:14(143位),31:35:45(141位),34:42:44(161位),10:02.24
161,162,2387,真島　一成,,02:27:58(252位),03:54:14(227位),06:09:25(155位),09:05:57(174位),12:32:47(245位),19:02:38(170位),22:38:01(160位),25:02:24(153位),29:26:55(156位),31:52:09(161位),34:42:50(162位),10:02.26
162,163,2005,赤羽　伴内,チームまみむ,02:25:31(213位),03:51:24(208位),06:31:14(247位),09:40:26(268位),12:45:02(271位),20:00:14(244位),23:13:57(203位),25:32:33(190位),29:26:37(154位),31:37:13(145位),34:43:09(163位),10:02.36
163,164,2339,早川　修,埼玉県庁走友会,02:19:39(124位),03:44:29(147位),06:17:54(180位),09:15:16(202位),12:12:28(193位),19:12:00(177位),22:52:12(173位),25:16:25(167位),29:33:33(161位),31:51:56(159位),34:45:35(164位),10:03.06
164,165,2231,多井　友和,,02:27:23(243位),03:50:50(205位),06:19:07(186位),09:13:23(198位),12:10:45(187位),19:19:59(187位),23:13:45(201位),25:52:22(216位),29:57:43(197位),32:11:56(186位),34:47:56(165位),10:03.74
165,166,2364,藤野　学,,02:23:15(171位),03:46:03(161位),06:02:30(132位),08:55:41(146位),11:45:31(153位),18:32:30(139位),21:55:38(125位),24:25:46(125位),29:00:36(130位),31:39:38(147位),34:50:00(166位),10:04.33
166,167,2325,野辺　慎一,IG茨城ランナーズ,02:17:53(98位),03:37:19(96位),05:55:58(110位),08:57:40(150位),11:47:30(160位),18:34:26(144位),21:57:31(129位),24:30:12(133位),29:02:42(135位),31:41:37(148位),34:51:57(167位),10:04.90
167,168,2363,藤田　このむ,二子玉川走友会,02:22:32(159位),03:44:56(151位),06:04:15(138位),08:53:06(140位),11:41:19(143位),18:22:48(132位),22:25:40(152位),24:50:35(147位),29:01:48(133位),31:30:25(134位),34:52:20(168位),10:05.01
168,169,2130,木田　直光,,02:36:17(363位),04:16:33(378位),06:52:52(340位),09:49:21(291位),13:00:27(305位),19:19:06(185位),22:41:39(164位),25:17:44(170位),29:37:26(166位),32:08:43(181位),34:54:03(169位),10:05.51
169,170,2053,上里　勝進,,02:32:34(306位),04:05:09(312位),06:45:43(303位),10:06:27(336位),12:57:12(296位),19:27:33(200位),22:55:55(180位),25:14:12(164位),29:39:13(170位),32:06:13(176位),34:55:43(170位),10:05.99
170,171,2424,毛利　公彦,JOCVPK,02:35:37(358位),04:11:16(347位),06:45:19(298位),09:47:04(284位),12:36:02(254位),19:35:19(213位),22:46:00(168位),25:12:43(160位),29:35:36(163位),31:56:17(166位),34:55:54(171位),10:06.04
171,172,2060,宇田川　和之,,02:28:03(254位),03:56:16(248位),06:22:20(204位),09:19:45(206位),,19:01:00(168位),22:50:22(170位),25:20:25(175位),29:47:44(182位),32:04:59(175位),34:56:23(172位),10:06.18
172,173,2191,佐藤　昭子,チーム水曜高尾練,02:22:42(161位),,06:19:16(187位),08:56:21(147位),11:31:31(126位),19:14:16(181位),23:03:32(188位),25:31:16(187位),29:51:06(184位),32:09:14(183位),34:57:20(173位),10:06.46
173,174,2256,田嶌　一徳,もくもくＴＲＣ,02:18:52(114位),03:48:00(179位),06:09:15(154位),09:06:49(180位),11:51:21(164位),18:56:44(163位),23:14:52(204位),25:51:37(214位),29:51:10(185位),32:09:08(182位),34:57:32(174位),10:06.51
174,175,2298,苗島　豊,スイカ部,02:35:11(351位),04:02:39(291位),06:26:50(225位),09:23:44(214位),12:19:08(207位),19:19:42(186位),23:17:19(206位),25:37:38(195位),29:42:15(173位),32:00:42(170位),34:58:30(175位),10:06.79
175,176,2154,合田　泰明,,02:31:26(293位),03:56:48(251位),06:35:51(267位),09:44:56(280位),12:30:31(238位),20:13:21(259位),23:29:32(227位),25:55:04(221位),29:57:09(195位),32:15:48(193位),35:04:04(176位),10:08.40
176,177,2166,小渕　直幸,佐鳴湖公園JC,02:23:30(181位),03:52:18(214位),06:27:46(230位),09:50:33(295位),12:56:22(290位),19:55:43(242位),23:36:57(233位),25:49:22(209位),30:05:44(214位),32:34:06(213位),35:04:05(177位),10:08.41
177,178,2072,大平　信裕,好走楽部米坂線肥薩線復旧推進委員会,02:31:24(292位),04:03:03(294位),06:31:40(250位),09:28:08(229位),12:21:22(215位),19:32:57(208位),23:24:01(221位),,29:51:25(187位),32:04:51(174位),35:05:30(178位),10:08.82
178,179,2418,宮森　春樹,,02:26:58(239位),03:49:37(191位),06:17:29(178位),09:00:12(160位),11:42:32(145位),18:00:57(111位),21:13:06(94位),23:45:30(94位),28:42:03(124位),31:43:05(149位),35:05:47(179位),10:08.90
179,180,2426,森末　茂男,,02:04:06(24位),03:31:57(64位),05:56:56(118位),08:57:42(151位),11:51:51(167位),18:16:24(124位),21:50:50(119位),24:29:39(132位),29:17:59(147位),31:55:39(165位),35:06:01(180位),10:08.97
180,181,2321,額田　聡子,,02:29:08(263位),03:59:03(263位),06:40:44(279位),09:45:26(281位),12:49:17(278位),19:36:12(215位),23:22:15(218位),25:51:09(213位),29:51:17(186位),32:07:57(179位),35:06:23(181位),10:09.07
181,182,2039,井上　友仁,,02:23:18(173位),03:55:11(235位),06:42:52(288位),09:24:47(217位),12:12:42(195位),20:01:14(247位),23:44:48(240位),26:05:19(228位),30:02:32(203位),32:31:29(212位),35:08:18(182位),10:09.63
182,183,2289,唐仁原　雅,マイチッチRC,02:16:44(81位),03:38:07(103位),05:53:27(97位),08:49:42(132位),11:38:51(139位),18:44:17(153位),22:26:00(153位),25:35:03(192位),29:55:30(192位),32:08:20(180位),35:09:59(183位),10:10.11
183,184,2288,唐仁原　直美,マイチッチRC,02:16:45(82位),03:38:07(104位),05:53:27(98位),08:49:38(131位),11:38:52(141位),18:44:17(154位),22:26:02(154位),25:35:06(193位),29:55:33(193位),32:06:51(177位),35:10:01(184位),10:10.12
184,185,2452,横田　裕之,,02:21:08(145位),03:40:27(120位),05:52:50(92位),08:36:46(104位),11:22:58(115位),18:03:47(116位),21:47:20(118位),24:29:38(131位),29:31:25(159位),31:54:37(163位),35:11:49(185位),10:10.64
185,186,2162,後藤　広幸,鬼子母神興業,02:17:14(84位),03:35:36(82位),05:51:20(88位),08:42:29(122位),11:18:57(112位),17:16:46(82位),20:28:13(71位),22:49:30(70位),28:00:17(100位),30:59:01(119位),35:12:18(186位),10:10.78
186,187,2264,田中　健吾,,02:34:12(330位),03:59:41(268位),06:37:06(271位),09:25:37(223位),12:24:33(225位),18:46:19(157位),22:31:20(157位),24:53:00(148位),29:39:24(171位),32:15:12(191位),35:12:55(187位),10:10.96
187,188,2458,若井　和則,ばうしょ,02:24:10(195位),03:49:27(188位),06:28:37(232位),09:24:46(216位),12:35:01(248位),19:17:20(183位),22:50:53(171位),25:18:55(171位),29:35:56(165位),32:02:59(172位),35:12:58(188位),10:10.97
188,189,2068,遠藤　美樹,,02:19:52(126位),03:37:48(101位),05:56:12(114位),08:37:59(110位),11:28:20(123位),18:26:15(136位),22:13:30(143位),25:09:46(156位),,32:13:46(189位),35:13:01(189位),10:10.99
189,190,2044,井元　工治,,02:19:16(120位),03:39:19(113位),06:03:11(133位),08:55:36(145位),11:45:13(152位),18:59:21(167位),22:38:43(162位),25:09:26(155位),30:00:59(200位),,35:13:04(190位),10:11.00
190,191,2238,高橋　哲,ippon blade stallion,02:35:52(360位),04:10:40(344位),06:52:01(337位),09:51:35(297位),12:41:16(267位),19:38:13(219位),23:20:15(214位),25:45:22(205位),30:05:30(212位),32:29:32(208位),35:13:12(191位),10:11.04
191,192,2262,田中　一正,千里ランランクラブ,02:30:57(285位),03:59:12(264位),06:44:23(295位),10:43:17(393位),13:18:43(332位),19:46:18(230位),23:07:41(195位),25:16:42(168位),29:28:58(158位),31:50:00(156位),35:14:39(192位),10:11.46
192,193,2122,河内　規称,バンバンクラブ,02:32:06(302位),04:05:53(319位),06:43:56(291位),09:57:05(304位),12:55:04(287位),19:39:31(220位),23:17:29(208位),25:48:36(207位),29:53:42(190位),32:14:53(190位),35:14:53(193位),10:11.53
193,194,2042,今井　守,UltraWalkers,02:43:53(409位),04:27:02(402位),07:15:03(400位),10:31:40(385位),13:42:30(365位),20:24:50(274位),23:54:47(258位),26:17:17(251位),30:07:49(217位),32:30:24(211位),35:15:26(194位),10:11.69
194,195,2029,石澤　健,,02:25:07(205位),03:52:19(215位),06:33:29(260位),09:33:59(246位),12:30:44(240位),18:55:53(162位),22:34:58(159位),25:12:52(161位),29:42:35(175位),32:12:33(187位),35:16:17(195位),10:11.93
195,196,2057,宇佐美　展子,,02:33:22(313位),04:08:54(331位),06:51:39(336位),10:01:22(323位),13:06:36(313位),19:49:50(234位),23:20:01(213位),25:51:03(212位),29:56:09(194位),32:17:16(194位),35:17:36(196位),10:12.32
196,197,2270,谷口　聡,,02:41:12(398位),04:13:40(363位),06:54:10(344位),09:46:09(282位),12:50:25(280位),19:40:40(222位),23:03:29(187位),25:27:04(183位),29:59:01(199位),32:12:50(188位),35:17:47(197位),10:12.37
197,198,2280,土屋　健一,,02:28:33(260位),03:55:46(243位),06:27:28(229位),10:00:52(321位),12:40:41(264位),20:39:04(284位),23:49:30(246位),26:12:58(242位),30:07:39(215位),32:34:54(215位),35:18:06(198位),10:12.46
198,199,2299,永井　孝幸,カナガワRC,02:17:20(89位),03:46:47(168位),06:19:42(191位),09:30:21(235位),12:45:28(272位),19:24:11(195位),23:59:28(261位),26:14:00(244位),30:08:41(220位),32:44:31(220位),35:20:42(199位),10:13.21
199,200,2388,益田　慎一郎,,02:31:29(294位),04:03:29(297位),06:52:46(339位),09:54:22(299位),12:57:39(297位),19:51:07(237位),23:17:20(207位),25:33:49(191位),29:47:17(181位),32:25:21(204位),35:23:37(200位),10:14.06
200,201,2234,高野　尚史,ＣＲ．ｍ,02:34:42(341位),04:06:45(323位),06:49:41(324位),09:57:53(307位),12:47:56(276位),19:13:32(179位),22:44:48(166位),25:38:20(199位),29:46:49(179位),32:19:07(196位),35:24:02(201位),10:14.18
201,202,2107,片岡　茂人,まるお製作所RCメタボの会,02:34:59(349位),04:07:10(325位),06:49:54(325位),09:58:06(309位),12:48:15(277位),19:13:37(180位),22:45:07(167位),25:38:42(200位),29:46:55(180位),32:19:20(197位),35:24:15(202位),10:14.24
202,203,2302,長川　茂,今日はここから,02:35:22(353位),04:17:26(385位),06:54:57(347位),09:56:13(301位),12:58:58(300位),20:25:34(275位),23:44:53(241位),25:56:46(223位),30:03:57(207位),32:26:30(205位),35:24:41(203位),10:14.37
203,204,2373,古屋　幸夫,,02:33:55(326位),04:10:13(339位),06:57:58(356位),10:16:49(357位),13:16:27(325位),20:06:22(254位),23:21:00(216位),25:38:14(198位),29:58:17(198位),32:24:34(203位),35:24:47(204位),10:14.39
204,205,2312,中村　記代子,市川マラソンクラブ,02:45:38(415位),04:26:56(401位),07:08:39(382位),10:19:52(367位),13:25:48(340位),20:31:46(279位),23:52:02(249位),26:08:13(234位),30:02:26(202位),32:27:15(206位),35:25:26(205位),10:14.58
205,206,2378,保立　友司,株式会社ビズバレー,02:40:47(395位),04:14:18(370位),07:10:47(393位),10:09:01(343位),13:00:16(304位),19:52:10(238位),23:26:12(222位),26:07:02(233位),30:04:53(211位),32:44:00(219位),35:25:31(206位),10:14.60
206,207,2014,阿部　博史,立川綜合病院,02:43:01(405位),04:17:43(386位),07:04:32(374位),10:25:36(373位),13:26:30(341位),20:22:46(272位),23:50:50(247位),26:17:51(252位),30:04:30(209位),32:19:45(200位),35:25:58(207位),10:14.74
207,208,2149,黒田　昌宏,,02:34:31(337位),04:16:57(382位),06:57:28(353位),09:57:27(305位),13:03:55(312位),20:03:51(252位),23:29:34(228位),26:05:27(229位),30:01:34(201位),32:19:36(199位),35:26:04(208位),10:14.77
208,209,2180,坂本　崇,スポジック,02:24:01(191位),03:47:37(173位),06:10:52(159位),08:51:18(133位),11:33:26(130位),17:56:51(110位),21:18:34(97位),23:58:58(105位),29:01:36(132位),31:51:36(157位),35:26:08(209位),10:14.78
209,210,2400,松本　栄一,今日はここから,02:32:25(305位),04:05:06(311位),06:45:40(300位),09:59:23(314位),12:56:54(293位),19:42:51(225位),23:11:21(198位),25:37:49(196位),29:51:29(188位),32:29:27(207位),35:27:43(210位),10:15.24
210,211,2356,廣畠　清美,ナイスおっさん,02:23:21(175位),03:43:02(137位),06:10:29(158位),09:10:43(186位),11:43:45(147位),18:40:35(150位),22:16:49(144位),24:53:08(149位),29:34:54(162位),32:15:12(192位),35:27:50(211位),10:15.27
211,212,2134,北向　秀行,,02:14:18(69位),03:35:13(79位),05:49:37(83位),08:30:25(89位),11:11:03(101位),18:06:15(117位),22:18:34(146位),24:45:58(143位),29:38:01(167位),32:22:36(202位),35:28:13(212位),10:15.38
212,213,2083,大原　貴浩,ジパング団,02:35:28(354位),04:17:52(388位),07:03:06(370位),10:18:50(366位),13:29:43(344位),20:16:21(263位),24:00:13(263位),26:15:47(248位),30:13:30(223位),32:34:27(214位),35:28:17(213位),10:15.41
213,214,2227,鈴木　裕子,さいたま走友会,02:26:42(233位),03:55:00(233位),06:42:02(285位),09:27:18(227位),12:29:51(236位),19:42:24(224位),23:23:27(220位),25:54:38(220位),30:15:40(225位),32:48:37(227位),35:30:59(214位),10:16.19
214,215,2174,齊藤　浩,,02:29:34(271位),04:02:21(288位),06:43:31(289位),09:36:43(253位),12:47:26(275位),20:02:21(248位),23:32:57(231位),25:52:31(217位),30:15:55(226位),32:49:02(228位),35:31:12(215位),10:16.25
215,216,2136,君島　真一,宇都宮トレラン愛好家の集い,02:16:27(80位),03:35:51(85位),05:57:11(119位),08:37:21(106位),11:23:23(116位),18:02:50(115位),21:44:32(115位),24:31:20(135位),29:31:57(160位),32:17:23(195位),35:33:09(216位),10:16.81
216,217,2064,榎本　勝則,浦安ランナーズ,02:36:59(368位),04:07:50(328位),06:46:45(311位),09:44:52(278位),12:42:48(269位),20:09:35(256位),24:02:19(265位),26:15:18(247位),30:07:45(216位),32:51:50(229位),35:33:50(217位),10:17.01
217,218,2116,上木屋　寛光,ａＲＣ,02:53:49(427位),04:31:12(411位),07:20:58(401位),10:36:26(389位),13:44:45(368位),20:12:29(258位),24:06:21(271位),26:22:07(255位),30:19:50(229位),32:40:51(217位),35:34:33(218位),10:17.22
218,219,2145,栗田　健輔,WindRun,02:31:44(299位),04:05:53(318位),06:55:26(348位),10:08:54(341位),13:30:09(345位),20:25:42(276位),23:48:59(245位),26:11:14(237位),30:17:03(227位),32:45:07(221位),35:34:33(219位),10:17.22
219,220,2125,川村　直子,ひな茶々,02:36:45(365位),04:09:12(335位),06:47:52(313位),09:59:29(316位),13:11:41(322位),20:46:53(290位),24:04:41(269位),26:14:12(246位),30:08:12(219位),32:41:15(218位),35:36:18(220位),10:17.72
220,221,2293,外崎　則夫,ゼロベースRC,02:23:30(180位),03:57:34(254位),06:28:21(231位),09:33:00(244位),12:26:11(229位),19:37:35(218位),23:16:22(205位),25:38:13(197位),29:54:27(191位),32:19:23(198位),35:36:57(221位),10:17.91
221,222,2318,西澤　泉,横浜緑走友会,02:25:58(219位),03:58:55(260位),06:26:09(222位),09:35:01(249位),12:45:36(273位),19:44:31(226位),23:10:18(197位),25:29:33(186位),30:02:45(205位),32:35:08(216位),35:37:16(222位),10:18.00
222,223,2441,山田　貴幸,きのこトレラン,02:34:36(338位),04:07:08(324位),06:58:21(358位),10:11:50(351位),,,23:52:14(251位),,30:20:29(230位),32:47:14(224位),35:37:36(223位),10:18.10
223,224,2010,浅野　大志,,02:25:16(207位),04:03:25(296位),06:44:36(296位),09:53:26(298位),13:10:59(321位),19:37:10(216位),23:30:33(230位),25:55:48(222位),30:09:34(221位),32:29:40(210位),35:39:01(224位),10:18.51
224,225,2194,佐藤　智典,どM倶楽部,02:17:15(86位),03:44:39(148位),06:12:19(165位),09:13:07(196位),12:12:57(196位),19:18:25(184位),23:27:06(224位),25:45:15(204位),30:05:37(213位),32:29:40(209位),35:43:03(225位),10:19.67
225,226,2333,羽田野　勇治,OBAKAセブンＴＰＲ（羽田バル）,02:25:34(214位),03:54:19(228位),06:37:57(273位),09:39:22(264位),12:46:08(274位),20:16:53(264位),23:43:57(239位),26:04:36(227位),30:02:42(204位),32:46:42(223位),35:45:02(226位),10:20.25
226,227,2368,藤原　剛,,02:17:27(90位),03:34:55(77位),06:14:41(172位),09:01:46(165位),12:11:34(190位),19:13:15(178位),23:09:51(196位),25:47:11(206位),30:08:02(218位),32:45:49(222位),35:46:21(227位),10:20.63
227,228,2135,木下　新作,,02:30:43(281位),04:03:37(298位),06:57:29(354位),10:17:00(358位),13:38:52(357位),20:49:58(294位),24:05:13(270位),26:16:53(250位),30:14:43(224位),32:48:05(226位),35:47:59(228位),10:21.10
228,229,2416,宮崎　裕子,モロヤマプロレス,02:37:37(371位),04:12:06(353位),06:54:53(345位),10:04:18(333位),13:03:14(310位),19:52:45(239位),23:48:08(244位),26:14:07(245位),30:18:11(228位),32:47:44(225位),35:52:04(229位),10:22.28
229,途中棄権,2020,飯塚　稔,,02:14:01(68位),03:31:08(60位),05:42:59(64位),08:16:23(66位),10:54:30(79位),17:05:51(76位),20:48:45(85位),23:15:15(85位),27:33:14(85位),30:36:36(108位),,09:30.66
230,途中棄権,2235,高野　弘之,,02:28:14(256位),03:49:30(189位),06:11:22(160位),09:06:39(179位),11:58:56(177位),18:07:48(119位),21:42:32(113位),24:23:15(122位),29:00:31(128位),,,09:36.01
231,途中棄権,2119,川上　和男,ＴＥＡＭ　Ｒ×Ｌ＋,02:29:51(275位),03:49:33(190位),06:29:17(236位),09:09:41(184位),11:51:44(166位),18:23:24(133位),22:24:55(151位),25:32:06(188位),29:50:44(183位),,,09:52.63
232,途中棄権,2074,大瀧　伸之,,02:25:58(220位),03:45:36(157位),06:08:10(152位),09:06:18(176位),12:20:08(211位),19:40:45(223位),23:30:15(229位),26:06:43(232位),30:10:12(222位),,,09:59.07
233,途中棄権,2466,渡部　弘之,ハセツネクラブ,02:13:33(66位),03:29:58(54位),05:40:39(57位),08:13:33(63位),10:35:15(55位),15:45:39(35位),18:45:44(32位),20:57:02(33位),,,,07:53.16
234,途中棄権,2245,滝沢　賢一,,02:12:34(60位),03:29:30(52位),05:40:42(58位),08:19:56(70位),10:40:31(60位),16:31:00(57位),19:32:17(49位),21:37:55(45位),,,,08:08.55
235,途中棄権,2003,青木　敬隆,凹田ガス,02:07:31(35位),03:21:53(34位),05:19:57(30位),07:40:16(26位),09:56:01(25位),16:16:41(48位),19:53:58(60位),22:20:33(59位),,,,08:24.60
236,途中棄権,2362,福山　太郎,,02:21:35(152位),03:36:51(91位),05:54:03(101位),08:45:59(127位),11:24:27(118位),17:52:27(105位),21:32:13(102位),23:59:34(107位),,,,09:01.87
237,途中棄権,2225,鈴木　久,今日はここから,02:23:56(190位),03:47:36(172位),06:12:07(163位),09:00:00(158位),11:37:32(135位),18:25:07(135位),21:47:17(117位),24:12:02(112位),,,,09:06.56
238,途中棄権,2351,一杉　岳春,PEACE,02:20:51(139位),03:42:26(132位),05:47:13(76位),08:24:20(82位),11:00:09(81位),17:25:03(88位),21:22:38(98位),24:24:47(123位),,,,09:11.36
239,途中棄権,2415,宮崎　靖大,,02:23:51(188位),03:45:31(156位),06:09:02(153位),09:04:54(170位),11:51:59(168位),18:18:06(126位),21:53:05(121位),24:39:16(139位),,,,09:16.81
240,途中棄権,2236,高橋　宗志,,02:34:12(331位),04:09:00(333位),06:45:43(304位),09:40:49(270位),12:22:15(216位),18:45:43(156位),22:20:55(148位),24:42:06(140位),,,,09:17.88
241,途中棄権,2242,高松　徹,,02:11:18(50位),03:29:16(51位),05:53:05(94位),08:54:56(142位),11:44:50(150位),18:33:48(142位),22:17:41(145位),24:54:40(150位),,,,09:22.61
242,途中棄権,2100,小沼　裕美,日立土浦,02:39:20(387位),04:16:55(381位),06:50:31(330位),10:01:35(324位),13:16:07(324位),19:50:53(236位),23:22:06(217位),25:39:19(201位),,,,09:39.42
243,途中棄権,2108,片山　直幸,,02:27:43(248位),03:47:41(176位),06:00:53(126位),08:54:57(143位),12:00:16(179位),19:16:10(182位),23:05:10(189位),25:41:12(202位),,,,09:40.12
244,途中棄権,2215,白井　英統,,02:23:27(178位),03:48:55(184位),06:22:05(203位),09:27:30(228位),12:23:06(218位),19:23:33(192位),23:13:53(202位),25:41:33(203位),,,,09:40.26
245,途中棄権,2291,戸田　武芳,,02:35:17(352位),04:02:32(290位),06:33:15(257位),09:26:35(226位),12:24:13(223位),19:24:53(197位),23:12:09(200位),25:49:01(208位),,,,09:43.07
246,途中棄権,2123,川野　和宏,,02:20:03(129位),03:52:27(216位),06:41:54(284位),09:57:58(308位),12:55:54(289位),19:54:42(240位),23:06:22(192位),25:51:42(215位),,,,09:44.07
247,途中棄権,2129,菊地　隆広,,02:35:35(355位),04:05:52(317位),06:48:18(316位),09:56:49(303位),13:02:02(308位),19:28:55(201位),23:07:22(193位),25:53:09(218位),,,,09:44.62
248,途中棄権,2013,阿部　典子,,02:28:21(257位),03:58:29(259位),06:31:31(249位),09:23:29(212位),12:18:39(205位),20:03:13(250位),23:43:38(237位),25:57:30(224位),,,,09:46.26
249,途中棄権,2009,浅野　定逸,チームすー。,02:24:05(192位),03:49:40(194位),06:45:42(302位),09:40:25(267位),12:39:20(260位),19:45:25(228位),23:20:43(215位),25:59:53(225位),,,,09:47.15
250,途中棄権,2143,倉阪　秀史,伊賀忍者ＲＣ,02:34:45(343位),04:19:33(393位),07:04:23(373位),10:07:12(337位),13:20:55(334位),20:12:15(257位),23:43:48(238位),26:05:32(230位),,,,09:49.28
251,途中棄権,2436,山口　真一郎,,02:38:09(375位),04:09:07(334位),06:51:20(334位),10:18:07(364位),13:35:49(352位),20:50:30(296位),23:52:12(250位),26:05:52(231位),,,,09:49.41
252,途中棄権,2011,浅輪　義博,あさわじゃぱん,02:23:25(177位),03:45:51(158位),06:33:02(254位),09:33:38(245位),12:21:00(214位),20:01:08(246位),23:53:01(253位),26:09:39(235位),,,,09:50.83
253,途中棄権,2272,田村　泉,,02:35:59(362位),04:12:23(356位),06:53:43(342位),10:10:04(345位),13:37:38(356位),20:19:08(265位),23:52:59(252位),26:11:51(239位),,,,09:51.66
254,途中棄権,2004,赤羽　利文,,02:29:40(274位),04:02:14(284位),06:29:28(238位),09:25:20(221位),12:20:18(212位),19:40:11(221位),23:38:10(235位),26:11:55(240位),,,,09:51.68
255,途中棄権,2091,小川　哲司,今日はここから,02:24:55(203位),03:51:27(209位),06:18:22(182位),09:31:10(239位),12:58:06(298位),20:02:32(249位),23:42:08(236位),26:13:35(243位),,,,09:52.32
256,途中棄権,2216,白石　やよい,,02:35:55(361位),04:14:14(369位),06:53:49(343位),10:10:45(346位),13:43:21(367位),20:39:12(285位),23:53:24(255位),26:16:53(249位),,,,09:53.55
257,途中棄権,2386,馬越　正明,今日はここから,02:32:34(307位),04:05:15(314位),06:45:45(305位),09:59:43(318位),13:01:46(306位),20:43:15(288位),23:57:18(259位),26:19:34(253位),,,,09:54.56
258,途中棄権,2023,池尻　彰,フル百回楽走会,02:25:43(216位),03:54:05(224位),06:29:14(235位),09:29:35(231位),12:56:30(291位),20:24:07(273位),23:57:29(260位),26:20:13(254位),,,,09:54.81
259,途中棄権,2063,榎田　徹也,リスペクト,02:25:25(211位),03:50:25(201位),06:24:55(217位),09:31:11(240位),12:35:54(253位),19:44:55(227位),23:44:56(242位),26:23:58(256位),,,,09:56.22
260,途中棄権,2187,櫻木　昭宏,かごんまランチル会,02:25:17(208位),03:51:19(207位),06:18:34(185位),09:11:45(190位),11:55:11(172位),17:55:44(109位),21:33:10(104位),,,,,08:49.62
261,途中棄権,2081,大橋　寛憲,かねこクリニック,02:20:03(128位),03:42:14(129位),05:57:30(120位),08:38:23(113位),11:11:53(102位),17:23:58(87位),21:41:27(111位),,,,,08:53.02
262,途中棄権,2167,小松　敏之,江戸一ランナーズクラブ,02:33:34(319位),04:05:05(309位),06:45:37(299位),09:59:13(313位),12:57:00(294位),19:55:14(241位),23:26:27(223位),,,,,09:36.02
263,途中棄権,2192,佐藤　敬三,日本アイソトープ協会,02:24:10(196位),03:51:28(210位),06:26:37(223位),09:50:46(296位),12:57:00(295位),19:55:50(243位),23:37:14(234位),,,,,09:40.43
264,途中棄権,2002,青木　秀子,あおひで危機一発,02:38:22(377位),04:16:15(377位),07:01:31(366位),09:59:40(317位),12:49:58(279位),20:05:19(253位),23:47:58(243位),,,,,09:44.83
265,途中棄権,2384,前川　玲香,,02:35:49(359位),04:24:01(398位),07:10:55(394位),10:31:00(383位),13:52:45(379位),20:50:18(295位),23:53:02(254位),,,,,09:46.91
266,途中棄権,2329,橋本　憲,ランジョグ,02:20:58(142位),03:49:38(193位),06:20:28(195位),09:26:28(224位),12:13:14(197位),19:34:38(210位),23:54:23(257位),,,,,09:47.46
267,途中棄権,2024,池田　希歩,ランジョグ 中部,02:24:19(198位),03:50:35(203位),06:27:22(228位),09:35:35(252位),12:52:08(282位),20:00:18(245位),23:59:49(262位),,,,,09:49.68
268,途中棄権,2086,岡田　明子,,02:43:26(408位),04:20:03(394位),07:08:20(381位),10:26:50(378位),13:42:21(364位),20:36:38(283位),24:01:47(264位),,,,,09:50.49
269,途中棄権,2197,佐藤　幸久,年中短パン部,02:26:14(224位),04:01:38(281位),06:51:16(332位),10:07:30(338位),13:09:16(317位),20:20:12(266位),24:04:02(266位),,,,,09:51.41
270,途中棄権,2376,細田　晴美,年中短パン部,02:26:23(227位),04:02:14(285位),06:51:18(333位),10:07:31(339位),13:09:22(318位),20:22:40(271位),24:04:10(267位),,,,,09:51.47
271,途中棄権,2095,奥川　考透,年中短パン部,02:32:45(308位),03:57:47(256位),06:33:22(259位),09:46:24(283位),12:39:53(262位),20:20:37(267位),24:04:23(268位),,,,,09:51.55
272,途中棄権,2275,垂水　かおり,朝霞JC,02:24:09(194位),04:05:09(313位),07:03:53(371位),10:15:44(353位),13:34:37(350位),20:47:48(291位),24:10:36(273位),,,,,09:54.10
273,途中棄権,2110,加藤　もと子,二子玉川走友会,02:22:46(163位),03:45:02(153位),06:04:22(139位),08:53:11(141位),11:41:32(144位),19:45:26(229位),24:11:32(274位),,,,,09:54.48
274,途中棄権,2126,川村　佳郎,からだにぴーす,02:42:42(401位),04:29:20(404位),07:22:48(404位),10:41:05(391位),13:53:14(381位),21:30:30(307位),24:21:23(275位),,,,,09:58.52
275,途中棄権,2036,井出　富雄,Team FunTrails,01:49:59(2位),02:52:48(1位),04:33:58(2位),06:32:07(2位),08:23:02(2位),12:55:49(2位),,,,,,06:01.97
